ID ,currency,notional,start.date,maturity.date,strike,type,standard
1499,EUR,13000000,06/06/2019,06/06/2034,0.006213,receiver,TRUE
1498,EUR,100000000,06/06/2019,06/06/2029,0.00302,receiver,TRUE
1497,EUR,42000000,06/06/2019,06/06/2026,0.000465,receiver,TRUE
1496,EUR,30800000,30/05/2019,30/05/2024,-0.00066,payer,TRUE
1495,EUR,22000000,30/05/2019,30/05/2026,0.00099,receiver,TRUE
1494,EUR,35000000,23/05/2019,23/05/2024,-0.00023,payer,TRUE
1493,EUR,25000000,23/05/2019,23/05/2026,0.00158,receiver,TRUE
1492,EUR,16000000,16/05/2019,16/05/2034,0.007745,receiver,TRUE
1491,EUR,29700000,09/05/2019,09/05/2024,0.00007,payer,TRUE
1490,EUR,15000000,09/05/2019,09/05/2029,0.00464,receiver,TRUE
1489,EUR,41000000,09/05/2019,09/05/2049,0.010705,receiver,TRUE
1488,EUR,40000000,09/05/2019,09/05/2034,0.008235,receiver,TRUE
1487,EUR,90000000,09/05/2019,09/05/2026,0.00197,receiver,TRUE
1486,EUR,19800000,06/05/2019,06/05/2026,0.00231,receiver,TRUE
1485,EUR,32100000,06/05/2019,06/05/2024,0.00039,payer,TRUE
1484,EUR,46700000,06/05/2019,06/05/2022,-0.0013,receiver,TRUE
1483,EUR,14000000,06/05/2019,06/05/2029,0.00525,payer,TRUE
1482,EUR,23000000,06/05/2019,06/05/2026,0.00221,receiver,TRUE
1481,EUR,28000000,06/05/2019,06/05/2024,0.00049,payer,TRUE
1480,EUR,21200000,26/04/2019,26/04/2026,0.00218,receiver,TRUE
1479,EUR,21000000,26/04/2019,26/04/2024,0.00026,payer,TRUE
1478,EUR,50000000,26/04/2019,26/04/2022,-0.00139,receiver,TRUE
1477,EUR,15000000,26/04/2019,26/04/2029,0.00513,payer,TRUE
1476,EUR,15000000,26/04/2019,26/04/2026,0.00208,receiver,TRUE
1475,EUR,30000000,26/04/2019,26/04/2024,0.00036,payer,TRUE
1474,EUR,14100000,18/04/2019,18/04/2026,0.0026,receiver,TRUE
1473,EUR,33500000,18/04/2019,18/04/2024,0.00059,payer,TRUE
1472,EUR,26600000,18/04/2019,18/04/2022,-0.00129,receiver,TRUE
1471,EUR,10000000,18/04/2019,18/04/2029,0.00564,payer,TRUE
1470,EUR,24000000,18/04/2019,18/04/2026,0.0025,receiver,TRUE
1469,EUR,16000000,18/04/2019,18/04/2024,0.00069,payer,TRUE
1468,EUR,13000000,04/04/2019,04/04/2034,0.00833,receiver,TRUE
1467,EUR,10000000,04/04/2019,04/04/2039,0.010165,payer,TRUE
1466,EUR,25800000,14/03/2019,14/03/2059,0.01182,payer,TRUE
1465,EUR,24000000,14/03/2019,14/03/2049,0.01189,receiver,TRUE
1464,EUR,34400000,14/03/2019,14/03/2039,0.01107,payer,TRUE
1463,EUR,39400000,14/03/2019,14/03/2034,0.00933,receiver,TRUE
1462,EUR,101100000,14/03/2019,14/03/2026,0.00287,receiver,TRUE
1461,EUR,123100000,14/03/2019,14/03/2022,-0.00095,receiver,TRUE
